chu,loai,don,ten,animation,t_vung,t_dam_tu,t_dam_den,t_hoi,the_luc,he_so,pha_the,sieu_giap,huy_duoc,tam_voi,goc_quet,chi_so_chinh,he_so_bac
剑,kiem,nhe_1,Chém ngang,kiem_nhe_1,0.18,0.18,0.30,0.32,14,1.00,10,0,0,2.0,110,巧,乙
剑,kiem,nhe_2,Chém ngược,kiem_nhe_2,0.16,0.16,0.28,0.30,14,1.05,10,0,0,2.0,110,巧,乙
剑,kiem,nhe_3,Đâm tới,kiem_nhe_3,0.22,0.22,0.34,0.46,18,1.25,16,0,0,2.6,35,巧,乙
剑,kiem,nang,Chém bổ,kiem_nang,0.38,0.38,0.51,0.74,28,1.80,20,22,0,2.3,90,力,丙
剑,kiem,nang_nap,Chém bổ nạp,kiem_nang_nap,0.78,0.78,0.93,0.90,38,2.70,60,34,0,2.5,100,力,丙
剑,kiem,chay,Đâm lướt,kiem_chay,0.20,0.20,0.34,0.52,20,1.40,18,0,0,2.8,40,巧,乙
剑,kiem,nhay,Bổ từ trên,kiem_nhay,0.24,0.24,0.40,0.60,24,1.60,40,18,0,2.2,120,力,丙
剑,kiem,phan_do,Thúc phản,kiem_phan_do,0.22,0.22,0.36,0.48,20,1.35,60,14,0,2.0,60,巧,乙
刀,dao,nhe_1,Vạt ngang,dao_nhe_1,0.14,0.14,0.24,0.26,11,0.85,8,0,0,1.7,120,巧,甲
刀,dao,nhe_2,Vạt chéo,dao_nhe_2,0.13,0.13,0.23,0.24,11,0.88,8,0,0,1.7,120,巧,甲
刀,dao,nhe_3,Đâm nhanh,dao_nhe_3,0.16,0.16,0.26,0.34,14,1.00,13,0,0,2.1,30,巧,甲
刀,dao,nang,Xoay chém,dao_nang,0.31,0.31,0.46,0.59,24,1.50,16,0,0,2.0,220,巧,乙
刀,dao,nang_nap,Xoay chém nạp,dao_nang_nap,0.67,0.67,0.87,0.77,32,2.20,48,0,0,2.1,260,巧,乙
刀,dao,chay,Lướt cắt,dao_chay,0.16,0.16,0.28,0.44,16,1.15,14,0,0,2.3,60,巧,甲
刀,dao,nhay,Bổ nhảy,dao_nhay,0.20,0.20,0.34,0.52,20,1.35,32,0,0,1.9,110,巧,甲
刀,dao,phan_do,Vạt phản,dao_phan_do,0.22,0.22,0.36,0.48,15,1.15,48,8,0,1.7,60,巧,甲
斧,phu,nhe_1,Bổ dọc,phu_nhe_1,0.34,0.34,0.50,0.58,22,1.55,26,12,0,2.2,80,力,甲
斧,phu,nhe_2,Vung ngang,phu_nhe_2,0.36,0.36,0.54,0.62,22,1.60,26,12,0,2.4,160,力,甲
斧,phu,nhe_3,Bổ hai tay,phu_nhe_3,0.44,0.44,0.62,0.86,30,2.00,42,26,0,2.3,90,力,甲
斧,phu,nang,Quét vòng,phu_nang,0.51,0.51,0.71,0.95,40,2.60,52,45,0,2.8,300,力,甲
斧,phu,nang_nap,Quét vòng nạp,phu_nang_nap,0.98,0.98,1.23,1.07,52,3.80,156,70,0,3.0,340,力,甲
斧,phu,chay,Bổ chạy,phu_chay,0.30,0.30,0.48,0.74,28,1.90,47,20,0,2.6,70,力,甲
斧,phu,nhay,Giáng sấm,phu_nhay,0.32,0.32,0.52,0.82,34,2.40,104,30,0,2.4,140,力,甲
斧,phu,phan_do,Bổ phản,phu_phan_do,0.22,0.22,0.36,0.48,31,2.09,156,22,0,2.2,60,力,甲
弓,cung,nhe_1,Bắn nhanh,cung_nhe_1,0.34,0.34,0.36,0.44,16,1.00,6,0,1,22.0,0,巧,乙
弓,cung,nang,Bắn nạp,cung_nang,0.59,0.59,0.61,0.51,26,1.90,12,0,1,30.0,0,巧,乙
弓,cung,nang_nap,Bắn xuyên,cung_nang_nap,1.02,1.02,1.05,0.66,36,2.80,36,0,1,38.0,0,巧,乙
弓,cung,phan_do,Thúc cung,cung_phan_do,0.22,0.22,0.36,0.48,22,1.35,36,0,1,22.0,60,巧,乙
拳,quyen,nhe_1,Đấm trái,quyen_nhe_1,0.11,0.11,0.19,0.20,8,0.55,6,0,0,1.3,70,力,乙
拳,quyen,nhe_2,Đấm phải,quyen_nhe_2,0.11,0.11,0.19,0.20,8,0.58,6,0,0,1.3,70,力,乙
拳,quyen,nhe_3,Đá vòng,quyen_nhe_3,0.18,0.18,0.28,0.36,12,0.85,10,0,0,1.6,140,力,乙
拳,quyen,nang,Thúc cùi,quyen_nang,0.25,0.25,0.36,0.49,18,1.20,12,10,0,1.4,60,力,乙
拳,quyen,chay,Húc vai,quyen_chay,0.16,0.16,0.28,0.46,14,0.90,11,0,0,1.6,50,力,乙
拳,quyen,nhay,Giẫm,quyen_nhay,0.18,0.18,0.30,0.50,16,1.05,24,0,0,1.4,90,力,乙
拳,quyen,phan_do,Thúc chỏ,quyen_phan_do,0.22,0.22,0.36,0.48,11,0.74,36,8,0,1.3,60,力,乙
